,Name,Dist,Rad,Vobs,e_Vobs,Vgas,Vdisk,Vbulge,SBdisk,SBbulge
1012,NGC3198,13.8,0.32,24.4,35.9,0.0,63.28,0.0,1084.92,0.0
1013,NGC3198,13.8,0.64,43.3,16.3,0.0,73.66,0.0,590.57,0.0
1014,NGC3198,13.8,0.96,45.5,16.1,0.0,78.98,0.0,410.97,0.0
1015,NGC3198,13.8,1.28,58.5,15.4,0.35,82.7,0.0,329.34,0.0
1016,NGC3198,13.8,1.61,68.8,7.61,0.15,84.22,0.0,268.62,0.0
1017,NGC3198,13.8,1.93,76.9,10.3,-0.05,83.17,0.0,247.67,0.0
1018,NGC3198,13.8,2.24,82.0,8.09,-0.47,87.04,0.0,227.56,0.0
1019,NGC3198,13.8,2.57,86.9,7.6,-0.95,88.91,0.0,205.02,0.0
1020,NGC3198,13.8,2.89,97.6,3.03,-1.43,88.98,0.0,200.2,0.0
1021,NGC3198,13.8,3.21,100.0,5.31,-1.14,93.81,0.0,208.58,0.0
1022,NGC3198,13.8,3.54,107.0,7.51,-0.39,101.22,0.0,208.47,0.0
1023,NGC3198,13.8,3.85,113.0,7.32,0.36,108.53,0.0,196.07,0.0
1024,NGC3198,13.8,4.17,117.0,5.21,1.52,115.51,0.0,179.96,0.0
1025,NGC3198,13.8,4.5,119.0,5.67,3.07,120.51,0.0,164.19,0.0
1026,NGC3198,13.8,4.82,127.0,5.39,4.63,125.42,0.0,150.99,0.0
1027,NGC3198,13.8,5.15,132.0,4.34,6.02,129.4,0.0,138.08,0.0
1028,NGC3198,13.8,5.46,134.0,2.36,7.16,133.15,0.0,126.0,0.0
1029,NGC3198,13.8,5.78,137.0,0.89,8.31,136.45,0.0,113.63,0.0
1030,NGC3198,13.8,6.1,140.0,2.84,9.46,139.41,0.0,101.19,0.0
1031,NGC3198,13.8,6.43,142.0,0.88,10.61,141.85,0.0,86.52,0.0
1032,NGC3198,13.8,6.74,144.0,1.23,11.77,142.32,0.0,70.23,0.0
1033,NGC3198,13.8,7.06,146.0,1.57,12.87,140.94,0.0,57.67,0.0
1034,NGC3198,13.8,8.04,147.0,3.0,16.39,135.68,0.0,40.74,0.0
1035,NGC3198,13.8,9.04,148.0,3.0,20.03,130.79,0.0,31.83,0.0
1036,NGC3198,13.8,10.04,152.0,2.0,23.68,128.1,0.0,26.64,0.0
1037,NGC3198,13.8,11.04,155.0,2.0,27.08,126.67,0.0,21.02,0.0
1038,NGC3198,13.8,12.05,156.0,2.0,30.11,124.98,0.0,15.42,0.0
1039,NGC3198,13.8,14.05,157.0,2.0,34.48,118.12,0.0,6.42,0.0
1040,NGC3198,13.8,16.07,153.0,2.0,36.43,108.22,0.0,2.95,0.0
1041,NGC3198,13.8,18.13,153.0,2.0,37.76,101.1,0.0,2.39,0.0
1042,NGC3198,13.8,20.05,154.0,2.0,39.83,96.4,0.0,1.44,0.0
1043,NGC3198,13.8,22.12,153.0,2.0,40.92,91.56,0.0,0.72,0.0
1044,NGC3198,13.8,24.03,150.0,2.0,41.77,87.03,0.0,0.28,0.0
1045,NGC3198,13.8,26.1,149.0,2.0,43.71,82.67,0.0,0.16,0.0
1046,NGC3198,13.8,28.16,148.0,2.0,45.41,79.06,0.0,0.08,0.0
1047,NGC3198,13.8,30.08,146.0,2.0,45.29,76.07,0.0,0.04,0.0
1048,NGC3198,13.8,32.14,147.0,2.0,44.56,73.27,0.0,0.02,0.0
1049,NGC3198,13.8,34.06,148.0,2.0,44.81,70.91,0.0,0.01,0.0
1050,NGC3198,13.8,36.12,148.0,2.0,45.9,68.62,0.0,0.01,0.0
1051,NGC3198,13.8,38.19,149.0,2.0,46.75,66.59,0.0,0.0,0.0
1052,NGC3198,13.8,40.1,150.0,2.0,47.48,64.84,0.0,0.0,0.0
1053,NGC3198,13.8,42.17,150.0,3.0,48.93,63.1,0.0,0.0,0.0
1054,NGC3198,13.8,44.08,149.0,3.0,47.84,61.63,0.0,0.0,0.0
